Nombre,Departamento,Provincia,Distrito,Direccion,Estado,Capacidad operativa,Fecha de Publicación,Proyecto,Url,Url Img,Fuente,Tipo Cdi,area,Descripcio,Ccpp,Operador,Fecha Doc,Id Entidad,Id Documento,Id Documento1,Observaciones,Departamento,Provincia,Distrito
CPNP La molina,Lima,Lima,La Molina,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Petit thouars,Lima,Lima,Lima,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Palomino,Lima,Lima,Lima,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP La perla,Callao,Callao,La perla,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Bellavista,Callao,Callao,Bellavista,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
Lima,Lima,Lima,Lince,Jr. Manuel Candamo No. 455,,146,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,LINCE
Victoria,Lima,Lima,La Victoria,Av. Manuel Cisneros No. 597,,168,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,LA VICTORIA
Internacional,Lima,Lima,Breña,Jr. Rebeca Oquendo No. 360,,214,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,BREÑA
Magdalena,Lima,Lima,Pueblo Libre,Av. Sucre No. 899,,209,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,PUEBLO LIBRE
Salamanca,Lima,Lima,Ate,Las Dalias No. 180 Parque de Monterrico,,121,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,ATE
Brigadier cbp waldo hernan olivos villarreal,Lima,Lima,Jesus Maria,"Jirón Capac Yupanqui, cuadra 16",,122,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,JESUS MARIA
Antonio Alarco Espinosa,Callao,Callao,Bellavista,Jr. Condores Nro. 591,,152,,,,,PNP_INEI,,,,,,,,,,,CALLAO,CALLAO,BELLAVISTA
CPNP Breña,Lima,Lima,Breña,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Pueblo libre,Lima,Lima,Pueblo libre,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Santa felicia,Lima,Lima,La Molina,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Maranga,Lima,Lima,San Miguel,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
Carabayllo,Lima,Lima,Carabayllo,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
Comas,Lima,Lima,Comas,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
Comas,Lima,Lima,Comas,Manuel Aranguri No. 699,,157,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,COMAS
CPNP Pro,Lima,Lima,Los olivos,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
Tecnico Lorenzo Giraldo Vega,Callao,Callao,Ventanilla,Ca. Las Palomas Mz C Lt 09,,117,,,,,PNP_INEI,,,,,,,,,,,CALLAO,CALLAO,VENTANILLA
Carabayllo,Lima,Lima,Carabayllo,"Jr. No me Olvides s/n, Urb. Santa Isabel",,94,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,CARABAYLLO
La Perla,Callao,Callao,La Perla,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
La Perla,Callao,Callao,La Perla,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
La Perla,Callao,Callao,La Perla,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
San Martin De Porres,Lima,Lima,San Martin De Porres,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
Independencia,Lima,Lima,Independencia,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
Puente Piedra,Lima,Lima,Puente Piedra,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
Los Olivos,Lima,Lima,Los Olivos,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
